"","baseMean","log2FoldChange","lfcSE","pvalue","padj","query"
"Pocillopora_acuta_HIv2___TS.g26022.t1",81.9204739499004,-0.67606879105427,1.366270276671,0.0028367577816433,0.014462765087659,"Pocillopora_acuta_HIv2___TS.g26022.t1"
"Pocillopora_acuta_HIv2___RNAseq.g29675.t1",136.537688289438,0.170150610595979,1.03393629117684,0.00283824873085756,0.014465267668472,"Pocillopora_acuta_HIv2___RNAseq.g29675.t1"
"Pocillopora_acuta_HIv2___RNAseq.g26959.t1",415.376553593932,-2.03134424027342,1.40274453016759,0.00284113600769568,0.0144748824287814,"Pocillopora_acuta_HIv2___RNAseq.g26959.t1"
"Pocillopora_acuta_HIv2___RNAseq.g25004.t1",153.441858209831,-0.127777128287381,1.01245367012728,0.00284972098463089,0.0145135085639793,"Pocillopora_acuta_HIv2___RNAseq.g25004.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13617.t2",2007.47700811452,-1.91939980286917,1.38778187540866,0.00285255227546407,0.0145202288025644,"Pocillopora_acuta_HIv2___RNAseq.g13617.t2"
"Pocillopora_acuta_HIv2___RNAseq.g24783.t1",498.772964460559,0.144360039589839,1.0262291739632,0.00285304827550388,0.0145202288025644,"Pocillopora_acuta_HIv2___RNAseq.g24783.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21465.t1",280.062742727665,-0.293717452022022,1.04411897383477,0.00287047903394853,0.0146038018807709,"Pocillopora_acuta_HIv2___RNAseq.g21465.t1"
"Pocillopora_acuta_HIv2___RNAseq.g24836.t1",441.333049861554,-1.65205850611552,0.69235649352483,0.00289833104751901,0.0147371711897836,"Pocillopora_acuta_HIv2___RNAseq.g24836.t1"
"Pocillopora_acuta_HIv2___RNAseq.g1851.t1",120.8482258929,-0.200264796764706,1.03206570783263,0.0028987314736542,0.0147371711897836,"Pocillopora_acuta_HIv2___RNAseq.g1851.t1"
"Pocillopora_acuta_HIv2___RNAseq.g1638.t1",309.477082151102,1.90758137345237,2.03725771808115,0.00290258720228958,0.0147515886486003,"Pocillopora_acuta_HIv2___RNAseq.g1638.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12682.t1",2977.74264656386,-1.89988384673255,0.980477271580394,0.0029046896138288,0.0147570883647418,"Pocillopora_acuta_HIv2___RNAseq.g12682.t1"
"Pocillopora_acuta_HIv2___RNAseq.g17922.t1",194.456919198346,-0.396442954422037,1.08218609688484,0.00291653885032955,0.0148120849477411,"Pocillopora_acuta_HIv2___RNAseq.g17922.t1"
"Pocillopora_acuta_HIv2___TS.g24829.t1a",2915.50267882844,-1.46126955674555,0.576426351166875,0.00292594376876384,0.0148546334402949,"Pocillopora_acuta_HIv2___TS.g24829.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g24812.t1",246.69110869719,-0.236258771115132,1.03544122769918,0.00293215115045241,0.0148809242947873,"Pocillopora_acuta_HIv2___RNAseq.g24812.t1"
"Pocillopora_acuta_HIv2___RNAseq.g5756.t1",154.397608094926,-0.399314589842828,1.10915967318015,0.00293409695296496,0.0148855764039583,"Pocillopora_acuta_HIv2___RNAseq.g5756.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11949.t1",61.2038294470963,-0.751873417185225,1.45733884360722,0.00293620382394613,0.0148910421141503,"Pocillopora_acuta_HIv2___RNAseq.g11949.t1"
"Pocillopora_acuta_HIv2___RNAseq.g18991.t1",138.072094739515,-0.160389193395901,1.02861628876256,0.00294678242941901,0.0149394535783794,"Pocillopora_acuta_HIv2___RNAseq.g18991.t1"
"Pocillopora_acuta_HIv2___RNAseq.g833.t1",806.159470791857,-0.925614266115654,1.5145029632749,0.00296823805291618,0.0150429555702101,"Pocillopora_acuta_HIv2___RNAseq.g833.t1"
"Pocillopora_acuta_HIv2___RNAseq.g30830.t1",78.9759147269695,-0.43682443606998,1.12909393984797,0.00297603570865784,0.0150771910648081,"Pocillopora_acuta_HIv2___RNAseq.g30830.t1"
"Pocillopora_acuta_HIv2___RNAseq.g28039.t1",157.094495349605,-0.480051559267201,1.16168317010467,0.0029867048140516,0.0151233779869719,"Pocillopora_acuta_HIv2___RNAseq.g28039.t1"
"Pocillopora_acuta_HIv2___TS.g11948.t1",114.463003192134,-0.892570000430673,1.45310328045976,0.00298724356393658,0.0151233779869719,"Pocillopora_acuta_HIv2___TS.g11948.t1"
"Pocillopora_acuta_HIv2___RNAseq.g29143.t2",4185.18788079436,1.47985400508856,0.587461908195215,0.00299557664360012,0.0151602591228244,"Pocillopora_acuta_HIv2___RNAseq.g29143.t2"
"Pocillopora_acuta_HIv2___RNAseq.g17619.t1",251.080281861143,-0.800445536511355,1.38182009793779,0.00299899152486727,0.0151722327442043,"Pocillopora_acuta_HIv2___RNAseq.g17619.t1"
"Pocillopora_acuta_HIv2___TS.g31470.t2",249.566606320368,0.355011756840984,1.08379509206696,0.00300438797457305,0.0151942194630156,"Pocillopora_acuta_HIv2___TS.g31470.t2"
"Pocillopora_acuta_HIv2___RNAseq.g254.t1",272.095403060688,-0.250084219507091,1.03761559302685,0.0030075771112784,0.0152013732824427,"Pocillopora_acuta_HIv2___RNAseq.g254.t1"
"Pocillopora_acuta_HIv2___RNAseq.g10180.t1",3100.04406047856,-1.96634346738508,1.22347594476258,0.00300790447554972,0.0152013732824427,"Pocillopora_acuta_HIv2___RNAseq.g10180.t1"
"Pocillopora_acuta_HIv2___RNAseq.g31081.t1",2788.55766565212,2.58240351982175,2.06520360452336,0.00301254861546487,0.0152195260824603,"Pocillopora_acuta_HIv2___RNAseq.g31081.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12410.t1",6201.14923901467,-1.88943059427905,0.934825669843489,0.00303272430988243,0.0153161048946017,"Pocillopora_acuta_HIv2___RNAseq.g12410.t1"
"Pocillopora_acuta_HIv2___RNAseq.g4872.t1",141.280859639228,-0.309909056609921,1.0792669695152,0.00303454367877801,0.0153199440732444,"Pocillopora_acuta_HIv2___RNAseq.g4872.t1"
"Pocillopora_acuta_HIv2___TS.g7557.t1",245.791153865086,-0.551674588502833,1.15545642084219,0.00304300440755507,0.0153572978893498,"Pocillopora_acuta_HIv2___TS.g7557.t1"
"Pocillopora_acuta_HIv2___RNAseq.g28041.t1",212.401682139925,-1.51577663612895,2.12851692570042,0.00305324293513057,0.0154035946333201,"Pocillopora_acuta_HIv2___RNAseq.g28041.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13338.t1",132.811231156371,-1.54499017864404,2.10647575009671,0.0030565091211976,0.0154146959306144,"Pocillopora_acuta_HIv2___RNAseq.g13338.t1"
"Pocillopora_acuta_HIv2___RNAseq.9717_t",38.8186593679087,-0.515371382196879,1.20563327929013,0.00306026203786805,0.0154282433306809,"Pocillopora_acuta_HIv2___RNAseq.9717_t"
"Pocillopora_acuta_HIv2___RNAseq.g24377.t1",155.396566037171,-0.132886654964209,1.01822527227921,0.00306209160525022,0.0154320881457628,"Pocillopora_acuta_HIv2___RNAseq.g24377.t1"
"Pocillopora_acuta_HIv2___RNAseq.g28344.t1b",71.3963709148558,-0.294207702787388,1.0635997758138,0.00306738096354263,0.015453360590972,"Pocillopora_acuta_HIv2___RNAseq.g28344.t1b"
"Pocillopora_acuta_HIv2___RNAseq.g17491.t1",59.1647217376862,-0.389109053837575,1.09411977217666,0.00308384242625106,0.015530883305465,"Pocillopora_acuta_HIv2___RNAseq.g17491.t1"
"Pocillopora_acuta_HIv2___RNAseq.g6912.t1",978.752739829586,-0.606018836404099,1.17023489797838,0.00309706686068163,0.015592055368221,"Pocillopora_acuta_HIv2___RNAseq.g6912.t1"
"Pocillopora_acuta_HIv2___RNAseq.g20762.t1",86.4979593293527,-1.76499073418557,2.00099048195315,0.00311715893415529,0.0156877476769736,"Pocillopora_acuta_HIv2___RNAseq.g20762.t1"
"Pocillopora_acuta_HIv2___TS.g10169.t1",98.3280254552224,-0.12562003141784,1.0191118799978,0.00312263175262798,0.0157071770921037,"Pocillopora_acuta_HIv2___TS.g10169.t1"
"Pocillopora_acuta_HIv2___RNAseq.g164.t1",142.890297914868,-0.304046611257423,1.06437428243104,0.00312319146272748,0.0157071770921037,"Pocillopora_acuta_HIv2___RNAseq.g164.t1"
