"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","Standardized_Name_spA"
"15","Pocillopora_acuta_HIv2___TS.g4148.t1c",2544.66451385655,6.36117381651855,1.32354877836706,1.13412858080629e-10,6.43295521285575e-09,"gland_10","gland"
"16","Pocillopora_acuta_HIv2___TS.g15797.t1",226.062481669673,12.3633771906792,3.48894744741664,1.94736931857707e-10,1.02424544814177e-08,"calicoblast","calicoblast"
"17","Pocillopora_acuta_HIv2___RNAseq.g6446.t1",7264.0806341713,-4.25723385913054,0.765020624777039,2.53606942347516e-10,1.26926325747905e-08,"calicoblast","calicoblast"
"18","Pocillopora_acuta_HIv2___RNAseq.g8217.t1",745.87324476123,8.57004626859218,2.44107529432648,8.54211395490242e-10,3.62325912738148e-08,"neuron_9","neuron"
"19","Pocillopora_acuta_HIv2___RNAseq.g15838.t1",947.248888807,12.0418314102867,3.35164477645876,9.55788880600668e-10,3.9788897821051e-08,"epidermis_2","epidermis"
"20","Pocillopora_acuta_HIv2___RNAseq.g10927.t1",5557.52588219212,4.24249355412175,0.8327400679292,2.4422384527006e-09,8.74543555939999e-08,"epidermis_2","epidermis"
"21","Pocillopora_acuta_HIv2___RNAseq.g15408.t1",273.674816434166,9.37873507557415,2.51839773862,3.18274311160822e-09,1.09607610395955e-07,"immune_1","immune"
"22","Pocillopora_acuta_HIv2___RNAseq.g10294.t1",175.429385145671,12.0693942690402,3.61858065197314,4.37188580436956e-09,1.43715809714549e-07,"gland_5","gland"
"23","Pocillopora_acuta_HIv2___RNAseq.g11039.t1",612.291924077895,8.98227422766052,2.58873378458689,4.59159595335997e-09,1.48831360253238e-07,"cnidocyte","cnidocyte"
"24","Pocillopora_acuta_HIv2___RNAseq.g30992.t1",924.626802302463,11.2811431824601,3.66197966530291,5.10274278098788e-09,1.63287768991612e-07,"neuron_12","neuron"
"25","Pocillopora_acuta_HIv2___RNAseq.g16715.t1",164499.295892458,-3.51677493485201,0.67520375869984,5.94460749571917e-09,1.86109962809701e-07,"gastrodermis","gastrodermis"
"26","Pocillopora_acuta_HIv2___RNAseq.g1812.t1",9662.94937539683,-3.7761055919089,0.799345949611728,3.41218895652369e-08,8.5982406040346e-07,"gastrodermis","gastrodermis"
"27","Pocillopora_acuta_HIv2___RNAseq.g33.t1",30447.9102108154,2.84515184427981,0.559598471687161,3.58337669737807e-08,8.96712120257378e-07,"neuron_8","neuron"
"28","Pocillopora_acuta_HIv2___RNAseq.g14020.t1",192.015211131491,11.9592923657233,3.87884371149518,4.74262148380008e-08,1.13196826966476e-06,"epidermis_2","epidermis"
"29","Pocillopora_acuta_HIv2___RNAseq.g20232.t1",90.204866967561,11.1037094956987,3.52676042603195,6.37211285737481e-08,1.45832658811818e-06,"neuron_4","neuron"
"30","Pocillopora_acuta_HIv2___RNAseq.g11882.t1",417.31323745721,10.0593428950401,3.43288572760176,7.05576012195172e-08,1.58716196584619e-06,"neuron_1","neuron"
"31","Pocillopora_acuta_HIv2___RNAseq.g7107.t1",303.667043588515,9.70379180843505,3.27475299715108,9.24416128540465e-08,2.01063983206155e-06,"digestive_filaments","digestive_filaments"
"32","Pocillopora_acuta_HIv2___RNAseq.g20846.t1",519.710041943882,8.66683382603524,3.15166545925389,1.43437581263227e-07,2.97232260084715e-06,"epidermis_1","epidermis"
"33","Pocillopora_acuta_HIv2___RNAseq.g10343.t1",180.956691067974,-9.47433000850089,3.33243791721313,1.50016092643061e-07,3.08653309244556e-06,"alga-hosting_cells","gastrodermis_symbiont_containing"
"34","Pocillopora_acuta_HIv2___RNAseq.g584.t3a",436.600226122974,9.55035354493668,4.09569083792454,2.09558048199308e-07,4.11268332314083e-06,"gland_10","gland"
"35","Pocillopora_acuta_HIv2___RNAseq.g14373.t1",969.063918075449,-0.540177358225191,1.24496052383862,2.65233375074848e-07,5.06112867688997e-06,"gastrodermis","gastrodermis"
