CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
90	4086	10211	28.58	14297
91	4146	10048	29.21	14194
92	4129	10093	29.03	14222
93	4051	10328	28.17	14379
94	4413	10012	30.59	14425
95	4099	9630	29.86	13729
96	4208	9825	29.99	14033
97	4173	10132	29.17	14305
98	4096	9622	29.86	13718
99	4182	9625	30.29	13807
100	4227	9596	30.58	13823
101	3990	9737	29.07	13727
102	4011	9809	29.02	13820
103	3863	9539	28.82	13402
104	3983	9179	30.26	13162
105	3908	9341	29.50	13249
106	4064	9248	30.53	13312
107	3942	9298	29.77	13240
108	3841	8962	30.00	12803
109	3895	8914	30.41	12809
110	3970	8845	30.98	12815
111	3828	8905	30.06	12733
112	3886	8895	30.40	12781
113	3631	9122	28.47	12753
114	3710	8966	29.27	12676
115	3775	8904	29.77	12679
116	3677	8498	30.20	12175
117	3680	8865	29.33	12545
118	3575	8668	29.20	12243
119	3577	8510	29.59	12087
120	3448	8347	29.23	11795
121	3301	8524	27.92	11825
122	3399	8500	28.57	11899
123	3536	8437	29.53	11973
124	3574	8197	30.36	11771
125	3491	8327	29.54	11818
126	3570	8306	30.06	11876
127	3609	8178	30.62	11787
128	3537	8000	30.66	11537
129	3396	8150	29.41	11546
130	3345	7856	29.86	11201
131	3316	7896	29.58	11212
132	3269	7830	29.45	11099
133	3284	8099	28.85	11383
134	3261	7782	29.53	11043
135	3193	7636	29.49	10829
136	3333	7547	30.63	10880
137	3244	7813	29.34	11057
138	3297	7399	30.82	10696
139	3139	7466	29.60	10605
140	3106	7543	29.17	10649
141	3001	7423	28.79	10424
142	3121	7285	29.99	10406
143	2942	7028	29.51	9970
144	2908	7175	28.84	10083
145	2916	7242	28.71	10158
146	2926	6985	29.52	9911
147	2599	6753	27.79	9352
148	2513	6833	26.89	9346
149	2165	6501	24.98	8666
150	1190	5812	17.00	7002
151	0	3539	0.00	3539

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	15415	22897	40.24	38312
2	18904	17103	52.50	36007
3	12218	18635	39.60	30853
4	13944	17358	44.55	31302
5	14379	20087	41.72	34466
6	15989	20606	43.69	36595
7	12215	20770	37.03	32985
8	11568	18165	38.91	29733
9	10780	17656	37.91	28436
10	12636	17454	41.99	30090
11	10669	17219	38.26	27888
12	10998	17283	38.89	28281
13	10566	17504	37.64	28070
14	12613	17654	41.67	30267
15	9985	17091	36.88	27076
16	10625	17022	38.43	27647
17	10090	17229	36.93	27319
18	11916	16876	41.39	28792
19	9782	17090	36.40	26872
20	10133	16890	37.50	27023
21	10229	16917	37.68	27146
22	11746	16934	40.96	28680
23	9862	16727	37.09	26589
24	10024	16351	38.01	26375
25	9521	16958	35.96	26479
26	11535	16870	40.61	28405
27	9380	16451	36.31	25831
28	9691	16602	36.86	26293
29	9707	16462	37.09	26169
30	10837	16212	40.06	27049
31	9268	16178	36.42	25446
32	9600	16010	37.49	25610
33	9234	15989	36.61	25223
34	10777	15851	40.47	26628
35	9212	15862	36.74	25074
36	9405	15475	37.80	24880
37	8807	15258	36.60	24065
38	10632	15261	41.06	25893
39	8776	14945	37.00	23721
40	8966	15271	36.99	24237
41	8777	15468	36.20	24245
42	10095	15043	40.16	25138
43	8614	15112	36.31	23726
44	8851	14967	37.16	23818
45	8242	15079	35.34	23321
46	9769	15138	39.22	24907
47	8488	14682	36.63	23170
48	8202	14708	35.80	22910
49	7734	14413	34.92	22147
50	9651	14630	39.75	24281
51	8359	14464	36.63	22823
52	8139	14694	35.65	22833
53	7940	14299	35.70	22239
54	8969	14420	38.35	23389
55	7613	14445	34.51	22058
56	8097	13856	36.88	21953
57	7627	13859	35.50	21486
58	9013	13849	39.42	22862
59	7657	14050	35.27	21707
60	7709	13932	35.62	21641
61	7445	13591	35.39	21036
62	8930	13512	39.79	22442
63	7535	13616	35.62	21151
64	7395	13617	35.19	21012
65	7435	13676	35.22	21111
66	8110	13664	37.25	21774
67	7155	13781	34.18	20936
68	7251	13539	34.88	20790
69	7118	13289	34.88	20407
70	7969	13243	37.57	21212
71	7287	13175	35.61	20462
72	7146	12597	36.20	19743
73	6691	12951	34.06	19642
74	7635	13255	36.55	20890
75	6369	13061	32.78	19430
76	6248	13320	31.93	19568
77	6940	12625	35.47	19565
78	7644	12761	37.46	20405
79	6868	12737	35.03	19605
80	6887	12875	34.85	19762
81	6588	12619	34.30	19207
82	7427	12349	37.56	19776
83	6383	12260	34.24	18643
84	6631	12055	35.49	18686
85	6096	12326	33.09	18422
86	7293	12408	37.02	19701
87	6163	12322	33.34	18485
88	6322	12267	34.01	18589
89	6207	12276	33.58	18483
90	6795	12254	35.67	19049
91	5947	12063	33.02	18010
92	6252	11818	34.60	18070
93	5924	11947	33.15	17871
94	6580	11990	35.43	18570
95	6222	11773	34.58	17995
96	5886	11648	33.57	17534
97	5765	11705	33.00	17470
98	6526	11915	35.39	18441
99	5733	11338	33.58	17071
100	5816	11394	33.79	17210
101	5761	11066	34.24	16827
102	6113	11456	34.79	17569
103	5728	11240	33.76	16968
104	5976	11248	34.70	17224
105	5399	11157	32.61	16556
106	6130	11093	35.59	17223
107	5804	11141	34.25	16945
108	5732	11006	34.25	16738
109	5331	11086	32.47	16417
110	6003	11000	35.31	17003
111	5584	10613	34.48	16197
112	5231	10539	33.17	15770
113	5227	10400	33.45	15627
114	5823	10262	36.20	16085
115	5141	10259	33.38	15400
116	5451	10485	34.21	15936
117	4973	10336	32.48	15309
118	5561	10486	34.65	16047
119	5060	10379	32.77	15439
120	5352	10419	33.94	15771
121	4866	10257	32.18	15123
122	5321	9871	35.03	15192
123	4740	9775	32.66	14515
124	4839	9843	32.96	14682
125	4675	9899	32.08	14574
126	5168	9749	34.65	14917
127	4779	9881	32.60	14660
128	4868	9735	33.34	14603
129	4703	9346	33.48	14049
