gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27861.t1,4143,2276,3237,1159,4225,586,2532,2623,1794,1154
Pocillopora_acuta_HIv2___TS.g10626.t1,1666,1223,1414,2218,3130,3351,0,1293,0,3215
Pocillopora_acuta_HIv2___TS.g10628.t2,1086,1055,1342,1070,1395,656,1626,459,2069,1001
Pocillopora_acuta_HIv2___TS.g10629.t3,344,449,117,651,1527,1958,4015,1180,327,0
Pocillopora_acuta_HIv2___TS.g10630.t1,0,596,42,566,34,377,119,1670,1840,0
Pocillopora_acuta_HIv2___TS.g10631.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10636.t2,4613,782,2798,458,3213,753,1980,4534,1042,491
Pocillopora_acuta_HIv2___RNAseq.g27873.t1,0,0,0,0,0,7,17,0,0,0
Pocillopora_acuta_HIv2___TS.g10638.t1,0,17,21,0,51,36,0,24,0,31
Pocillopora_acuta_HIv2___TS.g10637.t1,41,22,57,5,143,26,5,53,242,100
Pocillopora_acuta_HIv2___RNAseq.g27877.t1,954,399,393,900,353,1880,496,826,288,0
Pocillopora_acuta_HIv2___TS.g10640.t1,126,85,214,11,235,87,39,89,593,528
Pocillopora_acuta_HIv2___RNAseq.g27880.t1,27,83,235,39,33,26,33,53,270,140
Pocillopora_acuta_HIv2___TS.g10644.t1,0,0,428,0,622,0,0,0,154,0
Pocillopora_acuta_HIv2___RNAseq.g27881.t1,1214,1735,362,2003,1660,1823,1849,1672,206,0
Pocillopora_acuta_HIv2___RNAseq.g27882.t1,2062,250,1951,461,1747,76,362,1508,1928,1061
Pocillopora_acuta_HIv2___RNAseq.g27884.t1,1160,512,135,388,442,840,270,2109,463,0
Pocillopora_acuta_HIv2___TS.g10646.t1,1049,182,883,617,5520,2747,2347,4107,1102,32
Pocillopora_acuta_HIv2___TS.g10648.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27888.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27886.t1,1534,1775,1039,1671,1380,3354,3133,591,3178,1298
Pocillopora_acuta_HIv2___RNAseq.g27887.t1,2,201,19,250,13,101,21,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g27892.t1,5,25,21,16,70,119,20,47,9,14
Pocillopora_acuta_HIv2___RNAseq.g27907.t1,8,85,3,17,31,47,69,42,0,0
Pocillopora_acuta_HIv2___TS.g10701.t3,1301,1819,2754,1867,2125,1622,514,1285,3618,1512
Pocillopora_acuta_HIv2___RNAseq.541_t,1353,2796,2493,932,3167,1069,2267,3887,7103,0
Pocillopora_acuta_HIv2___RNAseq.g27941.t1,1442,769,1430,0,1675,356,0,563,301,1240
Pocillopora_acuta_HIv2___RNAseq.g27942.t1,220,230,1110,412,1011,591,0,1198,64,17
Pocillopora_acuta_HIv2___RNAseq.g27943.t1,890,0,225,494,598,441,0,310,93,0
Pocillopora_acuta_HIv2___RNAseq.g27944.t1,4815,1321,2958,3075,4808,2592,552,3018,5955,464
Pocillopora_acuta_HIv2___RNAseq.g27945.t1,1200,4018,4029,0,4357,1444,224,4053,498,1668
