"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___RNAseq.179_t",NA,NA,NA,NA,47.22222222,12.55555556,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27576.t2",NA,51.66666667,NA,NA,26.08333333,73.39130435,49.85714286,NA,40,0
"Pocillopora_acuta_HIv2___RNAseq.g27577.t1",NA,0,NA,NA,26.14814815,8.441964286,5.28,34.28571429,NA,NA
"Pocillopora_acuta_HIv2___TS.g10337.t2",4.111111111,6.923076923,17.85714286,27.07692308,7.096774194,6.049095607,10.11111111,NA,35.73333333,64.2173913
"Pocillopora_acuta_HIv2___TS.g10338.t1",NA,5.714285714,NA,20,0,0,3.333333333,NA,0,91.66666667
"Pocillopora_acuta_HIv2___RNAseq.g27580.t1",NA,NA,NA,NA,40,8,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27581.t1",NA,NA,0,NA,NA,2.844660194,8.15625,20,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27582.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10342.t2",0,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10343.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27585.t1",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10345.t1",NA,20,0,NA,0,1.035294118,0,0,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27587.t1",NA,NA,20,0,13.75,2.232876712,5.454545455,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27588.t1",NA,NA,NA,NA,0,0,2.25,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27589.t1",NA,NA,NA,NA,NA,0,NA,NA,100,NA
"Pocillopora_acuta_HIv2___RNAseq.g27590.t1",NA,NA,NA,NA,NA,1.714285714,NA,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.g27591.t1",43.25,0,54,7.689655172,8.339622642,6.021186441,3.454545455,8.285714286,14.25,11.375
"Pocillopora_acuta_HIv2___RNAseq.g27592.t1",0,13.66666667,NA,NA,40,25.8,6.666666667,NA,0,NA
"Pocillopora_acuta_HIv2___RNAseq.199_t",0,4,10.85714286,4.166666667,41.33333333,2.536585366,0,20,20,20
"Pocillopora_acuta_HIv2___RNAseq.g27594.t1",NA,NA,0,NA,NA,0,3.041666667,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27595.t1",NA,NA,NA,NA,0,17.55555556,10,NA,NA,NA
